title,company,location,link
Native Korean Speaking Software QA Test Engineer,TikTok,서울 여의도역,https://kr.indeed.com/viewjob?jk=b658bf0e47e92299
데이터분석 솔루션 개발자 (python),비아이매트릭스,서울 강남구,https://kr.indeed.com/viewjob?jk=c61242aebac1602b
"빅데이터, Python 외 신입 정규직",주)씽크풀,서울 영등포구,https://kr.indeed.com/viewjob?jk=f91bdb1160ad64d2
[Janssen] Data Scientist,Johnson & Johnson Family of Companies,서울,https://kr.indeed.com/viewjob?jk=4bd70fb8a220d90d
2021 Global Data Internship - Seoul (Korean Speaker),Bloomberg,서울,https://kr.indeed.com/viewjob?jk=18f62dc644a89e0c
[개발]CI/CD 엔지니어(정규직),위메프,대한민국,https://kr.indeed.com/viewjob?jk=3d0cc83899a9b37f
솔루션 개발자,고도소프트,서울 구로구,https://kr.indeed.com/viewjob?jk=ce97cc7e1904d7ff
Associate,주식회사 지니얼로지,서울,https://kr.indeed.com/viewjob?jk=115f62e82db4dace
[개발]E-Commerce 데이터 엔지니어/NLP개발자(정규직),위메프,대한민국,https://kr.indeed.com/viewjob?jk=ab8b221932fe27ef
"O2O 플랫폼 백엔드 개발자 (Ruby, Node.JS, Python) 경력직",로보트리,서울 강남구,https://kr.indeed.com/viewjob?jk=f9bb0fa3070eabd1
[타다]데이터 분석가/사이언티스트,쏘카,대한민국,https://kr.indeed.com/viewjob?jk=be5650c60935269c
[Clova CIC] Clova 머신러닝 Scientist 개발 인턴 ​(연계형),네이버,서울,https://kr.indeed.com/viewjob?jk=94287420f32c2e10
Machine Learning Researcher (Intern),Qualcomm Korea YH,서울,https://kr.indeed.com/viewjob?jk=0f7993638aee82bd
"데이터 분석 및 컨설팅 분야 (Python, SAS, 빅데이터) 경력직",한국정보기술단,과천 과천시,https://kr.indeed.com/viewjob?jk=89e690f22378dc43
Data Scientist,Boston Consulting Group,서울,https://kr.indeed.com/viewjob?jk=ce6747e77c861c46
Software Development Engineer,Mentor Graphics (Korea) LLC,경기도 성남,https://kr.indeed.com/viewjob?jk=914578ba5310e818
Deep Learning Engineer Intern,Intel,서울,https://kr.indeed.com/viewjob?jk=ae775fd3698cfd07
프랭클린템플턴투신운용 Junior Trader (Quant base 필수),프랭클린템플턴투신,대한민국,https://kr.indeed.com/viewjob?jk=4adac8923476d038
Modem QA Contractor,聯發科技,경기도 성남,https://kr.indeed.com/viewjob?jk=bd5ce1a809ec610a
기술 인턴 인공지능 응용 연구/개발 인턴,써로마인드로보틱스,서울 관악구,https://kr.indeed.com/viewjob?jk=71c47ac87bb4087e
Developers,Coinplug,경기도 성남,https://kr.indeed.com/viewjob?jk=9a9e91ae6092ed2d
[진행중]우리은행 빅데이터사업부 전문직(데이터 분석가) 채용공고,우리은행,서울 회현동,https://kr.indeed.com/viewjob?jk=b9f6d0688351f5f7
정보보안 담당자,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=eeb9fe1c361f0758
MBC 프론트엔드 개발자,문화방송,서울 마포구,https://kr.indeed.com/viewjob?jk=a1c55a2ad7480ad2
Simulation 분야 석/박사 경력,LG디스플레이,경기도 파주,https://kr.indeed.com/viewjob?jk=c94ca88ffcfb04b3
[카카오커머스] 기술직군,카카오커머스,성남 분당구,https://kr.indeed.com/viewjob?jk=52f8fb3f7e662c5d
"웹개발, Python 외 신입/경력 계약직",쿠바로엠앤씨,서울 강서구,https://kr.indeed.com/viewjob?jk=84fd9f9deb6105b0
Software Engineer Intern,Intel,서울,https://kr.indeed.com/viewjob?jk=425ed567788202a3
"[동탄/판교] 신입,병특,경력 영상처리, 머신러닝 엔지니어",위키에이드,경기도 화성,https://kr.indeed.com/viewjob?jk=abab6ea00521c14a
[상시 ] Data Scientist (대리급/과-차장급/정규직),라이나생명보험,서울 종로구,https://kr.indeed.com/viewjob?jk=914ac3d9f813b8db
Developer / Designer recruit,마이뮤직테이스트,서울 논현동,https://kr.indeed.com/viewjob?jk=55a19c92c845685e
글로벌 소셜카지노 부문 사업PM,네오위즈,대한민국,https://kr.indeed.com/viewjob?jk=f3ace37c4d937d62
NAVER IDC 서버 운영/관리(평촌),NIT Service,안양 동안구,https://kr.indeed.com/viewjob?jk=097c35ed002a62e5
NAVER IDC 서버 운영/관리(가산),NIT Service,서울 가산동,https://kr.indeed.com/viewjob?jk=70fccff4d30cb6bf
[인프라보호팀]보안 취약점 분석 및 조치 담당자,심플렉스,서울 동작구,https://kr.indeed.com/viewjob?jk=550924e5eae67f0f
2020년 개발자,NHN TOAST,성남 판교역,https://kr.indeed.com/viewjob?jk=8327679eecb720a4
경험최적화 - 데이터 사이언티스트/분석가,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=1b62babbbf2d717a
Internship: Automotive Sensor Applications,Infineon Technologies,서울,https://kr.indeed.com/viewjob?jk=29a5ab4ff766e94b
2021 Market Data Analyst - Seoul,Bloomberg,서울,https://kr.indeed.com/viewjob?jk=5b73d7ce16a8338a
"Counter Intelligence and HUMINT Operations Analyst, Mid",Booz Allen Hamilton,경기도 평택,https://kr.indeed.com/viewjob?jk=ddd34e24c9a87d20
석유화학사업본부 경력사원 (AI 분석가),LG화학,서울 영등포구,https://kr.indeed.com/viewjob?jk=bb7b47dc966d85f8
퀀트운용팀 (사원-대리급),신한비엔피파리바자산운용,대한민국,https://kr.indeed.com/viewjob?jk=9040dba1c8db2a5d
AI/빅데이터 (리더급) 국내 대기업,국내 대기업,경기도,https://kr.indeed.com/viewjob?jk=50bdcec0bd5965c1
AI/빅데이터/클라우드 분야 (인재 Pool),LG유플러스,서울,https://kr.indeed.com/viewjob?jk=fb617eeb80ea6fa9
"[Search] 파파고 머신러닝(자연어처리, 컴퓨터비전) 엔지니어 (신입)",네이버,서울,https://kr.indeed.com/viewjob?jk=c6f624615d1e3da4
"금융 데이터 분석 엔진, 로보어드바이저 개발자",에스비씨엔,서울 영등포구,https://kr.indeed.com/viewjob?jk=649ccf047c868778
추천 통계분석/데이터사이언티스트,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=bfe0f5ac4f32ec89
[개발]위메프오 서버개발자(정규직),위메프,대한민국,https://kr.indeed.com/viewjob?jk=7649f20d3341d1d9
2020년 하반기 영업/기획/마케팅/개발 부문,아우토크립트,서울 영등포구,https://kr.indeed.com/viewjob?jk=4e91309fc89e9534
경력직 인재 (홍보.커뮤니케이션/퀀트/사무지원/홀세일/인덱스/금전채권),하나금융투자,서울 여의도,https://kr.indeed.com/viewjob?jk=e7bd311c9271bbb5
보안,NHN,성남 판교역,https://kr.indeed.com/viewjob?jk=810816c790317a08
보훈대상자 인재 채용,네오위즈,대한민국,https://kr.indeed.com/viewjob?jk=dfcb86f156623e5c
Consultant - App Platform,Microsoft,대한민국,https://kr.indeed.com/viewjob?jk=ce2302f054015ca1
2021년 경력직(임원급 포함) 컨설턴트,페니로이스,서울 종로구,https://kr.indeed.com/viewjob?jk=c0435086bf1b4bc9
Software Architecture 설계 엔지니어,딥엑스,성남 분당구,https://kr.indeed.com/viewjob?jk=7df915e1f0f86b2d
"Python, 데이터분석 외 경력 정규직",에임즈인터내셔널코리아,서울 강남구,https://kr.indeed.com/viewjob?jk=1a2885a205ae2400
"데이터마이닝, 데이터사이언스 신입 인턴",성공하는공장,서울 강남구,https://kr.indeed.com/viewjob?jk=e0bd768490336a11
연구소 개발부문 연구원 직원 (회로설계/하드웨어설계/머신비전/이미지프로세싱),모든다해,경기도 광명,https://kr.indeed.com/viewjob?jk=ec4f0bf4742a67c7
2020년 12월 경력사원 [DBA],케이티하이텔,서울 동작구,https://kr.indeed.com/viewjob?jk=6402c3af49fddc9d
Customer Engineer,Microsoft,서울,https://kr.indeed.com/viewjob?jk=7d4bc2a107c6669b
보험 신규사업 개발자 공채,카카오페이,성남 분당구,https://kr.indeed.com/viewjob?jk=13fca7e95fef66d8
(주)코인플러그 서버 개발자 (신입 가능/전문연구요원/산업기능요원 보충역),코인플러그,성남 분당구,https://kr.indeed.com/viewjob?jk=c89ccc7fac19d9fd
TOAST CAM 임베디드 개발,NHN,성남 판교역,https://kr.indeed.com/viewjob?jk=1a75ce748c5f24e9
Python Programmer,Mofac,서울 서초구,https://kr.indeed.com/viewjob?jk=df21e3bb5d773616
채팅모듈 개발자,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=3b752abecf619fe5
필드 서포트 엔지니어 (Software support),반도체 장비 (전공정),경기도 수원,https://kr.indeed.com/viewjob?jk=9cc8068806968188
Data Analyst,레이니스트,서울,https://kr.indeed.com/viewjob?jk=e5ca14de265f7fc9
[Search] Knowledge Base Applications (신입),네이버,서울,https://kr.indeed.com/viewjob?jk=23dfc13905f7fcc0
"Application Engineer South Korea (Physics, EE)",Zurich Instruments,서울,https://kr.indeed.com/viewjob?jk=7cca723d316495aa
추천 시스템 소프트웨어 엔지니어,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=07375dc4e800dfa9
Quantitative Researcher,자산운용: Quantitative Research,서울,https://kr.indeed.com/viewjob?jk=7453bfdc26273cd9
머신러닝/딥러닝 연구 개발,NHN,성남 판교역,https://kr.indeed.com/viewjob?jk=7e5d96b07d5edef0
RF-DVT (Design Validation Test) engineer,Comet Technologies Korea,경기도 수원,https://kr.indeed.com/viewjob?jk=00fd3144e1376f7b
[EY한영] 금융감사본부 Data Analytics 전문 경력직 모집,EY,대한민국,https://kr.indeed.com/viewjob?jk=4207c3ceb2dad58c
데이터 분석 및 지표 구축,아프리카TV,경기도 성남,https://kr.indeed.com/viewjob?jk=7fdcd7a7457b1e93
Applications Engineer (Library Characterization),Synopsys,서울,https://kr.indeed.com/viewjob?jk=8c8700db243d1a3c
게임이상탐지 분석/개발,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=4ec305f59ce64060
Junior Quant Trader,Byzantine Partners,서울,https://kr.indeed.com/viewjob?jk=25725b3c0e607311
[지능형인프라관리팀]서버 자산정보 관리 담당자,심플렉스,서울 동작구,https://kr.indeed.com/viewjob?jk=d55f967a6e540d2c
Data Engineer(신입),PUBG,서울,https://kr.indeed.com/viewjob?jk=210243e0776dc26f
"Engr, Apps Dev 3",KLA-Tencor,대한민국,https://kr.indeed.com/viewjob?jk=924d2b1d6678281a
사내 및 서비스 보안 담당자 (경력),네오위즈,대한민국,https://kr.indeed.com/viewjob?jk=cd40cf786e32f325
2020 전문연구요원 공개 채용,넷마블,서울 구로구,https://kr.indeed.com/viewjob?jk=b1c8dcf6b4990bbd
FPGA 플랫폼 엔지니어 (딥러닝 하드웨어 프로세서 개발),딥엑스,성남 분당구,https://kr.indeed.com/viewjob?jk=e5448ffc7d6ecf02
Business/Data Analyst (Search &Discovery Analytics),Coupang,서울 송파구,https://kr.indeed.com/viewjob?jk=0ea424ee397bc5d2
System Engineer,Toss,서울 강남구,https://kr.indeed.com/viewjob?jk=80dea8b8353c3ee0
11번가 Cloud Engineer 분야,십일번가,서울 중구,https://kr.indeed.com/viewjob?jk=8cdaf552ba7358f3
Businss Analyst,eBay Inc.,서울,https://kr.indeed.com/viewjob?jk=034b9e008ef26aea
2020 하반기 각 부문 직원,아이엠비디엑스,서울 금천구,https://kr.indeed.com/viewjob?jk=3483f9319f9e136a
[빅데이터플랫폼] 데이터 플랫폼 운영자,한국카카오은행,성남 분당구,https://kr.indeed.com/viewjob?jk=e0b78f2b2dfabc35
이커머스팀 Data Analytics (데이터 분석가),에프알엘코리아,서울 송파구,https://kr.indeed.com/viewjob?jk=eca59a4ce24a2ce1
[KSTEC] 통계/Analytics 신입 및 경력사원,지식시스템,성남 분당구,https://kr.indeed.com/viewjob?jk=25b1fd701ff4f43a
"Design Consultant, Staff",Synopsys,대한민국,https://kr.indeed.com/viewjob?jk=7e9a745cd8bdcbe3
eBeam System Engineer for R&D Extension Korea,Applied Materials Inc.,경기도 화성,https://kr.indeed.com/viewjob?jk=25a21ebfa5410f05
메시지발송 플랫폼 개발자,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=eaee1538d8cc832f
[KSTEC] 2020년 경력 사원 (SW개발자),지식시스템,성남 분당구,https://kr.indeed.com/viewjob?jk=7dabf0d0c3997c71
추천 시스템 연구/개발,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=be6c1f03fa566f8e
신한AI 인공지능(AI) 인력,신한에이아이,서울 영등포구,https://kr.indeed.com/viewjob?jk=a2b8aae664300392
Data Scientist,레이니스트,서울,https://kr.indeed.com/viewjob?jk=c4146edac244e5a5
Back-end Engineer (Python),Soomgo,서울 강남구,https://kr.indeed.com/viewjob?jk=752a4b5d63eac97c
Data Scientist,레이니스트,서울,https://kr.indeed.com/viewjob?jk=c4146edac244e5a5
Back-end Engineer (Python),Soomgo,서울 강남구,https://kr.indeed.com/viewjob?jk=752a4b5d63eac97c
Perception Software Engineer - Autonomous Vehicles,NVIDIA,대한민국,https://kr.indeed.com/viewjob?jk=94e6b51a16f4a0f6
"Java, Python 영상툴 개발자",에이아이메이커,서울 마곡동,https://kr.indeed.com/viewjob?jk=cae2de07045cfb2b
Technical Solutions Engineer,MightyHive,서울,https://kr.indeed.com/viewjob?jk=2d83dcf8baac736b
"Engr, Tech Supp 3",KLA-Tencor,대한민국,https://kr.indeed.com/viewjob?jk=233bbfd9781e846d
프론트엔드 개발자,스포카,대한민국,https://kr.indeed.com/viewjob?jk=b25ed61fb84a5785
Healthcare Real World Data Analyst 담당자,IQVIA,서울,https://kr.indeed.com/viewjob?jk=a746de9c7a6168ef
2020 [AI/ Data Scienitst],씨젠,서울 송파구,https://kr.indeed.com/viewjob?jk=16855c6c37b1810e
[전문연구요원] AI R&D - Langauge AI,엔씨소프트,성남 판교역,https://kr.indeed.com/viewjob?jk=bf1fca00c4f999e3
2020년 하반기 각 부문 신입/경력,스탠드포인트,서울 금천구,https://kr.indeed.com/viewjob?jk=158d61f253f65fb4
클라우드 엔지니어 (),NHN TOAST,성남 판교역,https://kr.indeed.com/viewjob?jk=8bcc7807085700a7
[인재풀] 아티스트,Electronic Arts,서울,https://kr.indeed.com/viewjob?jk=aac8e9355cb855ac
NAVER IDC 서버 운영/관리(춘천),NIT Service,춘천 동면,https://kr.indeed.com/viewjob?jk=de567c4b6b588c4c
Field Application Engineer (FAE) – Korea/Asia,LUCID Vision Labs,대한민국,https://kr.indeed.com/viewjob?jk=06995d4800ce38f3
"R&D Engineer, Sr I",Synopsys,서울,https://kr.indeed.com/viewjob?jk=4a65a5779d9c9e2a
산업진흥원 연구 및 사무직,산업진흥원,충청남도 아산,https://kr.indeed.com/viewjob?jk=1cebf88c0657b541
2020년 현대글로비스 석/박사 채용,현대글로비스,서울 역삼동,https://kr.indeed.com/viewjob?jk=d2368e2391c4f4a5
[진행중]우리은행 AI사업부 전문직(AI알고리즘 고도화) 채용공고,우리은행,서울 회현동,https://kr.indeed.com/viewjob?jk=8b191f9812931802
(주)리안 기업 웹 프로그래머 (Java/HTML/Python) 계약직(정규직전환가능) 개발자,리안,부산 해운대구,https://kr.indeed.com/viewjob?jk=89e016913c22c992
Security Engineer (모의해킹/취약점 점검),Toss,서울 강남구,https://kr.indeed.com/viewjob?jk=241ae1e7499c461c
프론트엔드 개발자,토이스미스,서울 강남구,https://kr.indeed.com/viewjob?jk=4c54f3a3fe84d0da
[XTRM] Data Analyst,PUBG,서울,https://kr.indeed.com/viewjob?jk=80a65fe76f39fe46
매칭 데이터분석,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=15edcadd124ad99a
자연어처리전문가 금융챗봇 만들어 갈 엔지니어,파운트,서울 충정로역,https://kr.indeed.com/viewjob?jk=a50fce6cc2cb57c9
Ant Group System operation and maintenance engineer (Korea) International BG,Alibaba,서울,https://kr.indeed.com/viewjob?jk=f90b1c51a3fc214c
[전문연구요원] 상시 (전직),네이버랩스,경기도,https://kr.indeed.com/viewjob?jk=14b591547a3b9df5
Data Specialist (Scientist&&Engineer),아우름플래닛,서울 마포구,https://kr.indeed.com/viewjob?jk=dd4d8e59a4a9265d
시스템/서버 엔지니어 영입,카카오페이증권,성남 분당구,https://kr.indeed.com/viewjob?jk=346c2f0c4fa947b6
Senior Data Scientist,Boston Consulting Group,서울,https://kr.indeed.com/viewjob?jk=77dfad5a778a94c2
"기술연구소 정규직 연력(Java, Python, 기타)및 개발자 (경력 1년이상)",파인씨앤아이,서울,https://kr.indeed.com/viewjob?jk=df6dbb00c3db1b95
8퍼센트 개발자 (신입/경력),8퍼센트,서울 종로구,https://kr.indeed.com/viewjob?jk=8af26b37623864c4
데이터 분석가 모집,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=092d062a6faa7139
Cross Border Ecommerce - Business Intelligence (Based in Seoul),Shopee,서울,https://kr.indeed.com/viewjob?jk=b574f1454ae36aab
DRX 인재 공개,디알엑스,서울 구로구,https://kr.indeed.com/viewjob?jk=a84b5655343a0228
Data Analytics SA,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/viewjob?jk=9a818d9d91db847d
Data Scientist(CSS 모델링),Toss,서울 강남구,https://kr.indeed.com/viewjob?jk=3933762f9f06df56
백엔드 개발자,스포카,대한민국,https://kr.indeed.com/viewjob?jk=bd8e5afa35b65cbc
카카오톡 보이스톡/페이스톡/라이브톡 개발자 모집,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=d585814d097935eb
RTL 기반 HW IP 설계 엔지니어 (딥러닝 하드웨어 프로세서 개발),딥엑스,성남 분당구,https://kr.indeed.com/viewjob?jk=6ede042ebe53ba49
[신성장] 개발 엔지니어 (인턴직),버즈니,서울,https://kr.indeed.com/viewjob?jk=d852018122f62ace
한글 Q&A 시스템 연구 개발 신입/경력사원,포티투마루,서울 관악구,https://kr.indeed.com/viewjob?jk=6f88041c28b6c1ae
테크빌더팀 웹어플리케이션 개발자 (백앤드/프론트앤드),Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=9d9f5827c98272c9
데이터 사이언티스트 모집,카카오,성남 판교역,https://kr.indeed.com/viewjob?jk=0064deb5fa9cbce0
Support Engineer _ Developer Support,Microsoft,서울,https://kr.indeed.com/viewjob?jk=7449dd28faebd96c
Site Engineer (Seoul),Motion2AI,서울,https://kr.indeed.com/viewjob?jk=8da5c72baf146123
Developer (개발자),Coinplug,경기도 성남,https://kr.indeed.com/viewjob?jk=b7be58e7af38d186
[기술기획] 클라우드 플랫폼 개발자,한국카카오은행,성남 분당구,https://kr.indeed.com/viewjob?jk=58ff9351c67e142d
소형전지사업부 경력,삼성SDI,충청남도 천안,https://kr.indeed.com/viewjob?jk=089931931a0474d5
System SW 엔지니어,딥엑스,성남 분당구,https://kr.indeed.com/viewjob?jk=fc037709d0770796
8퍼센트 개발자 (신입/경력),8퍼센트,서울 종로구,https://kr.indeed.com/viewjob?jk=8af26b37623864c4
